CSVv2,OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, central,0,-2.4,2.4,20,1000,0,1,0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))) , 
1, comb, down,1,-2.4,2.4,20,30,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.078885495662689209 , 
1, comb, down,1,-2.4,2.4,30,50,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.025339335203170776 , 
1, comb, down,1,-2.4,2.4,50,70,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.022487226873636246 , 
1, comb, down,1,-2.4,2.4,70,100,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.021372253075242043 , 
1, comb, down,1,-2.4,2.4,100,140,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.021989239379763603 , 
1, comb, down,1,-2.4,2.4,140,200,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.023777997121214867 , 
1, comb, down,1,-2.4,2.4,200,300,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.030794138088822365 , 
1, comb, down,1,-2.4,2.4,300,600,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.041836585849523544 , 
1, comb, down,1,-2.4,2.4,600,1000,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.063810773193836212 , 
1, comb, down,0,-2.4,2.4,20,30,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.039442747831344604 , 
1, comb, down,0,-2.4,2.4,30,50,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.012669667601585388 , 
1, comb, down,0,-2.4,2.4,50,70,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.011243613436818123 , 
1, comb, down,0,-2.4,2.4,70,100,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.010686126537621021 , 
1, comb, down,0,-2.4,2.4,100,140,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.010994619689881802 , 
1, comb, down,0,-2.4,2.4,140,200,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.011888998560607433 , 
1, comb, down,0,-2.4,2.4,200,300,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.015397069044411182 , 
1, comb, down,0,-2.4,2.4,300,600,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.020918292924761772 , 
1, comb, down,0,-2.4,2.4,600,1000,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))-0.031905386596918106 , 
1, comb, up,1,-2.4,2.4,20,30,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.078885495662689209 , 
1, comb, up,1,-2.4,2.4,30,50,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.025339335203170776 , 
1, comb, up,1,-2.4,2.4,50,70,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.022487226873636246 , 
1, comb, up,1,-2.4,2.4,70,100,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.021372253075242043 , 
1, comb, up,1,-2.4,2.4,100,140,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.021989239379763603 , 
1, comb, up,1,-2.4,2.4,140,200,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.023777997121214867 , 
1, comb, up,1,-2.4,2.4,200,300,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.030794138088822365 , 
1, comb, up,1,-2.4,2.4,300,600,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.041836585849523544 , 
1, comb, up,1,-2.4,2.4,600,1000,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.063810773193836212 , 
1, comb, up,0,-2.4,2.4,20,30,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.039442747831344604 , 
1, comb, up,0,-2.4,2.4,30,50,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.012669667601585388 , 
1, comb, up,0,-2.4,2.4,50,70,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.011243613436818123 , 
1, comb, up,0,-2.4,2.4,70,100,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.010686126537621021 , 
1, comb, up,0,-2.4,2.4,100,140,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.010994619689881802 , 
1, comb, up,0,-2.4,2.4,140,200,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.011888998560607433 , 
1, comb, up,0,-2.4,2.4,200,300,0,1,(0.498094*((1.+(0.422991*x))/(1.+(0.210944*x))))+0.015397069044411182 , 
